pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_met,st_meterr1,st_meterr2,st_metlim
0,1.860,0.240,-0.110,0,4.12000,,,0,3.520000,,,0,-0.130,0.080,-0.080,0
0,1.860,0.330,-0.190,0,4.12000,,,0,3.520000,,,0,0.000,0.147,-0.191,0
0,1.860,0.420,-0.370,0,4.12000,,,0,3.520000,,,0,0.060,0.093,-0.073,0
0,1.856,,,0,4.10000,,,0,3.520000,,,0,0.080,0.150,-0.100,0
0,1.860,0.920,-0.920,0,4.12000,,,0,3.520000,,,0,0.130,0.058,-0.058,0
0,1.860,0.450,-0.450,0,4.12000,,,0,3.520000,,,0,-0.140,0.120,-0.121,0
0,1.860,0.380,-0.380,0,4.12000,,,0,3.520000,,,0,-0.010,0.090,-0.104,0
0,1.860,0.240,-0.190,0,4.12000,,,0,3.520000,,,0,-0.300,0.150,-0.150,0
0,1.860,0.250,-0.170,0,4.12000,,,0,3.520000,,,0,-0.100,0.115,-0.122,0
0,2.050,0.140,-0.150,0,5.42000,0.61000,-0.57000,0,3.528714,0.827042,-0.661634,0,-0.200,0.150,-0.150,0
0,1.860,,,0,4.13000,0.66000,-1.14000,0,3.530000,,,0,,,,
0,1.850,0.161,-0.154,0,4.08000,,,0,3.540000,,,0,-0.238,0.235,-0.235,0
0,1.850,,,0,4.08000,2.58000,-2.08000,0,3.540000,,,0,,,,
0,1.850,0.330,-0.160,0,4.08000,,,0,3.540000,,,0,0.020,0.132,-0.165,0
0,1.850,0.370,-0.160,0,4.08000,,,0,3.540000,,,0,0.030,0.138,-0.162,0
0,1.850,0.100,-0.100,0,4.08000,,,0,3.540000,,,0,-0.263,0.041,-0.041,0
0,1.850,0.270,-0.270,0,4.08000,,,0,3.540000,,,0,0.090,0.123,-0.084,0
0,1.850,0.940,-0.940,0,4.08000,,,0,3.540000,,,0,0.140,0.150,-0.150,0
0,1.850,0.380,-0.380,0,4.08000,,,0,3.540000,,,0,0.041,0.028,-0.028,0
0,1.850,0.310,-0.250,0,4.08000,,,0,3.540000,,,0,0.150,0.094,-0.091,0
0,1.850,0.320,-0.410,0,4.08000,,,0,3.540000,,,0,-0.020,0.129,-0.177,0
0,0.497,0.021,-0.017,0,0.07930,,,0,3.550000,,,0,-0.550,0.070,-0.070,0
0,1.840,0.300,-0.180,0,4.04000,,,0,3.560000,,,0,-0.090,0.159,-0.190,0
0,1.840,0.260,-0.140,0,4.04000,,,0,3.560000,,,0,-0.040,0.148,-0.177,0
0,1.844,,,0,4.06000,,,0,3.560000,,,0,0.560,0.050,-0.300,0
0,1.840,0.500,-0.200,0,4.04000,,,0,3.560000,,,0,0.060,0.145,-0.165,0
0,1.840,0.660,-0.260,0,4.04000,,,0,3.560000,,,0,0.050,0.139,-0.141,0
0,1.840,0.110,-0.110,0,4.04000,,,0,3.560000,,,0,-0.160,,,0
0,1.840,0.100,-0.100,0,4.04000,,,0,3.560000,,,0,-0.040,0.089,-0.079,0
0,1.840,1.000,-1.000,0,4.04000,,,0,3.560000,,,0,-0.211,0.014,-0.014,0
0,1.840,0.190,-0.190,0,4.04000,,,0,3.560000,,,0,0.118,0.014,-0.014,0
0,1.840,0.580,-0.580,0,4.04000,,,0,3.560000,,,0,-0.030,0.143,-0.152,0
0,1.840,1.080,-1.080,0,4.04000,,,0,3.560000,,,0,0.180,0.150,-0.150,0
0,1.840,0.400,-0.240,0,4.04000,,,0,3.560000,,,0,-0.080,0.153,-0.194,0
0,1.840,0.270,-0.170,0,4.04000,,,0,3.560000,,,0,0.080,0.079,-0.077,0
0,1.837,,,0,4.03000,,,0,3.570000,,,0,-0.220,0.300,-0.300,0
0,1.835,,,0,4.02000,,,0,3.580000,,,0,0.160,0.150,-0.150,0
0,1.830,,,0,4.00000,0.40000,-0.40000,0,3.590000,,,0,-0.030,0.160,-0.160,0
0,1.830,,,0,4.00000,1.00000,-1.00000,0,3.590000,,,0,0.180,0.080,-0.080,0
0,1.830,,,0,4.00000,0.30000,-0.30000,0,3.590000,,,0,-0.610,0.020,-0.020,0
0,1.830,,,0,4.00000,0.60000,-0.60000,0,3.590000,,,0,-0.610,0.020,-0.020,0
0,1.830,,,0,4.00000,0.80000,-0.70000,0,3.590000,,,0,-0.310,0.030,-0.030,0
0,1.830,,,0,4.00000,0.53000,-0.55000,0,3.590000,,,0,-0.200,0.200,-0.200,0
0,1.820,,,0,3.95000,0.42000,-0.43000,0,3.600000,,,0,0.130,0.160,-0.160,0
0,1.830,0.130,-0.120,0,4.01000,,,0,3.600000,,,0,,,,
0,1.830,0.100,-0.340,0,4.01000,,,0,3.600000,,,0,-0.090,0.087,-0.084,0
0,1.830,0.360,-0.360,0,4.01000,,,0,3.600000,,,0,-0.150,0.021,-0.021,0
0,1.510,0.040,-0.040,0,2.30000,0.60000,-0.50000,0,3.600000,1.100000,-0.900000,0,-0.180,0.100,-0.100,0
0,1.510,0.040,-0.040,0,2.10000,0.60000,-0.70000,0,3.600000,1.100000,-1.100000,0,-0.180,0.100,-0.100,0
0,1.830,0.300,-0.160,0,4.01000,,,0,3.600000,,,0,-0.020,0.143,-0.187,0
0,1.824,,,0,3.98000,,,0,3.600000,,,0,-0.260,0.300,-0.300,0
0,1.828,,,0,4.00000,,,0,3.600000,,,0,-0.220,0.300,-0.300,0
0,1.830,0.560,-0.310,0,4.01000,,,0,3.600000,,,0,0.040,0.105,-0.123,0
0,0.850,0.061,-0.047,0,0.40000,0.16000,-0.15000,0,3.600000,1.400000,-1.500000,0,-0.460,0.260,-0.260,0
0,2.287,0.108,-0.110,0,7.72000,1.67000,-1.52000,0,3.600000,1.200000,-0.830000,0,-0.230,0.050,-0.050,0
0,1.820,,,0,3.96000,5.88000,-2.66000,0,3.610000,,,0,,,,
0,1.820,0.610,-0.240,0,3.97000,,,0,3.620000,,,0,0.010,0.136,-0.185,0
0,1.820,0.320,-0.170,0,3.97000,,,0,3.620000,,,0,-0.020,0.139,-0.182,0
0,1.820,0.290,-0.140,0,3.97000,,,0,3.620000,,,0,0.080,0.166,-0.158,0
0,1.820,0.160,-0.150,0,3.97000,,,0,3.620000,,,0,-0.050,0.167,-0.170,0
0,1.820,0.120,-0.120,0,3.97000,,,0,3.620000,,,0,-0.170,0.091,-0.124,0
0,1.820,0.190,-0.190,0,3.97000,,,0,3.620000,,,0,0.118,0.014,-0.014,0
0,1.820,0.310,-0.210,0,3.97000,,,0,3.620000,,,0,0.010,0.135,-0.169,0
0,1.820,0.370,-0.240,0,3.97000,,,0,3.620000,,,0,0.030,0.081,-0.096,0
0,1.810,0.350,-0.350,0,3.93000,,,0,3.640000,,,0,-0.105,0.012,-0.012,0
0,1.814,,,0,3.95000,,,0,3.640000,,,0,-0.200,0.300,-0.300,0
0,1.810,0.330,-0.330,0,3.93000,,,0,3.640000,,,0,-0.023,0.012,-0.012,0
0,1.810,,,0,3.93000,0.83000,-0.64000,0,3.640000,,,0,-0.520,0.010,-0.010,0
0,1.810,,,0,3.93000,1.05000,-1.37000,0,3.640000,,,0,-0.520,0.010,-0.010,0
0,0.520,0.060,-0.050,0,0.09330,,,0,3.650000,,,0,-0.130,0.078,-0.074,0
0,1.802,0.245,-0.158,0,3.90000,,,0,3.660000,,,0,-0.110,0.080,-0.080,0
