pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_met,st_meterr1,st_meterr2,st_metlim
19.100000,,,0,-0.350,0.090,-0.090,0
13.800000,,,0,-0.020,,,0
3.900000,,,0,-0.240,0.030,-0.030,0
7.110000,,,0,0.405,0.047,-0.047,0
1.260000,,,0,0.060,,,0
3.510000,,,0,-0.010,0.100,-0.100,0
9.210000,,,0,-0.052,0.023,-0.023,0
2.540000,,,0,,,,
0.592000,,,0,-0.770,0.030,-0.030,0
1.440000,,,0,-0.030,0.040,-0.040,0
0.559000,,,0,-0.030,0.040,-0.040,0
3.180000,,,0,0.010,0.050,-0.050,0
12.200000,,,0,,,,
30.400000,,,0,,,,
5.770000,,,0,,,,
6.550000,,,0,,,,
4.070000,,,0,,,,
1.380000,,,0,-0.092,,,0
11.700000,,,0,,,,
13.000000,,,0,0.190,,,0
6.050000,,,0,-0.250,0.040,-0.040,0
3.080000,,,0,-0.460,0.050,-0.050,0
1.920000,,,0,0.040,0.100,-0.100,0
0.329000,,,0,0.040,0.100,-0.100,0
1.160000,,,0,0.040,0.100,-0.100,0
1.450000,,,0,-0.027,0.045,-0.045,0
0.275000,,,0,0.180,0.100,-0.100,0
0.540000,,,0,0.350,0.100,-0.100,0
0.486000,,,0,0.350,0.100,-0.100,0
3.080000,,,0,0.350,0.100,-0.100,0
6.660000,0.430000,-0.400000,0,0.350,0.100,-0.100,0
0.563000,,,0,0.350,0.100,-0.100,0
1.460000,,,0,-0.130,0.020,-0.020,0
2.980000,,,0,-0.010,,,0
1.130000,,,0,-0.010,,,0
0.943000,,,0,-0.010,,,0
1.340000,,,0,0.210,0.100,-0.100,0
0.566000,,,0,0.210,0.100,-0.100,0
6.540000,,,0,-0.090,0.030,-0.030,0
2.330000,,,0,0.000,0.040,-0.040,0
0.910000,,,0,-0.030,,,0
4.410000,,,0,-0.060,0.030,-0.030,0
2.490000,,,0,-0.030,0.100,-0.100,0
8.050000,,,0,,,,
12.700000,,,0,0.040,0.020,-0.020,0
4.360000,,,0,0.290,0.030,-0.030,0
1.320000,0.190000,-0.200000,0,,,,
1.220000,0.260000,-0.290000,0,,,,
5.460000,,,0,-0.710,0.090,-0.090,0
0.691000,,,0,0.170,,,0
0.705000,,,0,-0.220,0.080,-0.080,0
0.754000,,,0,0.280,0.070,-0.070,0
21.100000,,,0,-1.000,0.070,-0.070,0
11.400000,,,0,-1.000,0.070,-0.070,0
3.340000,,,0,-0.460,0.070,-0.070,0
7.890000,3.400000,-3.100000,0,-0.150,,,0
0.944000,,,0,-0.090,0.030,-0.030,0
0.592000,,,0,-0.200,0.070,-0.070,0
1.210000,,,0,-0.130,0.060,-0.060,0
1.140000,,,0,-0.190,0.060,-0.060,0
0.458000,,,0,0.180,0.050,-0.050,0
8.270000,,,0,,,,
3.150000,,,0,-0.090,0.030,-0.030,0
25.300000,,,0,-0.140,0.060,-0.060,0
2.020000,,,0,-0.140,0.170,-0.170,0
0.495000,,,0,-0.140,0.170,-0.170,0
1.480000,,,0,-0.060,,,0
0.293000,,,0,-0.070,0.030,-0.030,0
0.368000,,,0,0.380,,,0
0.405000,,,0,-0.350,0.150,-0.150,0
1.280000,,,0,-0.350,0.150,-0.150,0
8.750000,,,0,-0.080,,,0
4.250000,,,0,-0.030,0.060,-0.060,0
3.600000,,,0,0.130,0.160,-0.160,0
9.620000,,,0,,,,
1.500000,,,0,,,,
11.800000,,,0,,,,
10.600000,,,0,,,,
5.710000,,,0,0.000,0.080,-0.080,0
1.980000,,,0,-0.560,0.010,-0.010,0
0.380000,0.050000,-0.050000,0,-0.300,0.250,-0.250,0
3.700000,0.830000,-0.830000,0,0.260,0.070,-0.070,0
0.990000,0.150000,-0.150000,0,-0.030,0.080,-0.080,0
0.411000,0.129000,-0.094000,0,0.160,0.100,-0.100,0
2.340000,0.230000,-0.230000,0,0.010,0.070,-0.070,0
7.300000,1.500000,-1.500000,0,0.050,0.150,-0.150,0
0.440000,0.210000,-0.140000,0,0.190,0.060,-0.060,0
2.820000,0.380000,-0.380000,0,0.000,0.100,-0.100,0
2.200000,0.800000,-0.800000,0,-0.100,0.100,-0.100,0
0.710000,0.060000,-0.060000,0,-0.020,0.100,-0.100,0
1.470000,0.080000,-0.074000,0,0.040,0.050,-0.050,0
8.870000,1.100000,-1.100000,0,0.140,0.120,-0.120,0
16.400000,,,0,0.140,0.120,-0.120,0
1.360000,0.480000,-0.480000,0,0.000,0.100,-0.100,0
0.249000,1.000000,-0.097000,0,0.170,0.070,-0.120,0
3.000000,1.100000,-1.100000,0,0.050,0.100,-0.100,0
0.900000,,,1,0.300,0.150,-0.150,0
1.300000,0.500000,-0.400000,0,0.300,0.150,-0.150,0
0.150000,0.150000,-0.060000,0,-0.010,0.130,-0.130,0
0.280000,0.090000,-0.070000,0,0.010,0.130,-0.130,0
12.600000,1.920000,-1.670000,0,-0.100,0.100,-0.100,0
0.690000,0.270000,-0.270000,0,0.150,0.100,-0.100,0
1.450000,0.740000,-0.740000,0,0.200,0.100,-0.100,0
26.400000,5.600000,-5.600000,0,0.140,0.040,-0.040,0
3.450000,0.650000,-0.650000,0,0.020,0.100,-0.100,0
0.330000,0.180000,-0.180000,0,0.000,0.100,-0.100,0
0.290000,0.110000,-0.110000,0,-0.500,0.100,-0.100,0
0.250000,0.170000,-0.170000,0,-0.100,0.100,-0.100,0
0.525000,0.150000,-0.150000,0,0.050,0.070,-0.070,0
0.217000,0.031000,-0.025000,0,-0.250,0.060,-0.060,0
2.320000,0.310000,-0.310000,0,-0.200,0.100,-0.100,0
9.355000,0.235000,-0.235000,0,0.050,,,0
2.040000,,,0,0.060,0.100,-0.100,0
1.180000,,,0,0.020,0.020,-0.020,0
1.600000,0.100000,-0.100000,0,0.300,0.100,-0.100,0
0.860000,0.180000,-0.160000,0,-0.010,0.060,-0.060,0
1.100000,1.300000,-0.800000,0,0.000,0.200,-0.200,0
11.000000,,,0,,,,
29.500000,,,0,,,,
0.693000,,,0,,,,
0.901000,,,0,,,,
1.840000,,,0,,,,
4.100000,,,0,,,,
3.530000,,,0,,,,
0.261000,,,0,,,,
5.060000,,,0,0.180,0.090,-0.090,0
5.350000,,,0,,,,
,,,,0.000,,,0
5.510000,,,0,-0.048,0.150,-0.210,0
3.500000,,,0,,,,
4.660000,,,0,-0.053,0.240,-0.240,0
4.310000,,,0,-0.089,0.013,-0.013,0
5.600000,,,0,-0.010,0.030,-0.030,0
5.990000,,,0,-0.051,0.017,-0.017,0
5.430000,,,0,-0.330,0.040,-0.040,0
5.050000,,,0,-0.003,0.120,-0.300,0
5.340000,,,0,-0.113,0.060,-0.060,0
5.470000,,,0,0.000,,,0
